	Dividends_x	Stock Splits	Date	Dividends_y	contractSymbol	strike	lastPrice	bid	ask	change	percentChange	volume	openInterest	impliedVolatility	inTheMoney	contractSize	currency
0	2.055	0.0	2019-02-07	2.055													
1	2.055	0.0	2019-05-09	2.055													
2	2.055	0.0	2019-08-08	2.055													
105			2024-09-09		BA240920C00330000	330.0	0.02	0.0	0.0	0.0	0.0	27.0	353.0	0.500005	False	REGULAR	USD
106			2024-09-09		BA240920C00340000	340.0	0.01	0.0	0.0	0.0	0.0	298.0	698.0	0.500005	False	REGULAR	USD
107			2024-09-09		BA240920C00350000	350.0	0.01	0.0	0.0	0.0	0.0	60.0	0.0	0.500005	False	REGULAR	USD
108			2024-09-09		BA240920C00360000	360.0	0.01	0.0	0.0	0.0	0.0	60.0	465.0	1.000005	False	REGULAR	USD
109			2024-09-09		BA240920C00370000	370.0	0.01	0.0	0.0	0.0	0.0	100.0	356.0	1.000005	False	REGULAR	USD
110			2024-09-09		BA240920C00380000	380.0	0.01	0.0	0.0	0.0	0.0	160.0	287.0	0.500005	False	REGULAR	USD
111			2024-09-13		BA240920P00197500	197.5	40.1	0.0	0.0	0.0	0.0	20.0	0.0	1.0000000000000003e-05	True	REGULAR	USD
112			2024-09-13		BA240920P00250000	250.0	92.92	0.0	0.0	0.0	0.0	3.0	4.0	1.0000000000000003e-05	True	REGULAR	USD
113			2024-09-13		BA240920P00265000	265.0	107.94	0.0	0.0	0.0	0.0	3.0	0.0	1.0000000000000003e-05	True	REGULAR	USD
114			2024-09-13		BA240920P00290000	290.0	133.12	0.0	0.0	0.0	0.0	22.0	11.0	1.0000000000000003e-05	True	REGULAR	USD
115			2024-09-13		BA240920P00295000	295.0	138.11	0.0	0.0	0.0	0.0	7.0	0.0	1.0000000000000003e-05	True	REGULAR	USD
116			2024-09-13		BA240920P00300000	300.0	143.17	0.0	0.0	0.0	0.0	3.0	0.0	1.0000000000000003e-05	True	REGULAR	USD
117			2024-09-13		BA240920C00137000	137.0	20.7	0.0	0.0	0.0	0.0		4.0	1.0000000000000003e-05	True	REGULAR	USD
118			2024-09-13		BA240920C00139000	139.0	18.81	0.0	0.0	0.0	0.0		1.0	1.0000000000000003e-05	True	REGULAR	USD
119			2024-09-13		BA240920C00144000	144.0	13.77	0.0	0.0	0.0	0.0		0.0	1.0000000000000003e-05	True	REGULAR	USD
120			2024-09-13		BA240920C00147000	147.0	10.89	0.0	0.0	0.0	0.0		103.0	1.0000000000000003e-05	True	REGULAR	USD
121			2024-09-13		BA240920C00215000	215.0	0.01	0.0	0.0	0.0	0.0	168.0	2303.0	0.500005	False	REGULAR	USD
122			2024-09-13		BA240920C00240000	240.0	0.01	0.0	0.0	0.0	0.0	1.0	3451.0	0.500005	False	REGULAR	USD
123			2024-09-13		BA240920C00255000	255.0	0.06	0.0	0.0	0.0	0.0	2.0	1191.0	0.500005	False	REGULAR	USD
124			2024-09-13		BA240920C00275000	275.0	0.01	0.0	0.0	0.0	0.0	5.0	959.0	0.500005	False	REGULAR	USD
125			2024-09-13		BA240920C00390000	390.0	0.01	0.0	0.0	0.0	0.0	10.0	1362.0	0.500005	False	REGULAR	USD
126			2024-08-26		BA240920P00202500	202.5	29.55	0.0	0.0	0.0	0.0		1.0	1.0000000000000003e-05	True	REGULAR	USD
127			2024-08-26		BA240920P00285000	285.0	110.87	0.0	0.0	0.0	0.0	8.0	0.0	1.0000000000000003e-05	True	REGULAR	USD
128			2024-09-05		BA240920P00240000	240.0	77.68	0.0	0.0	0.0	0.0	2.0	2.0	1.0000000000000003e-05	True	REGULAR	USD
129			2024-09-12		BA240920P00245000	245.0	83.15	0.0	0.0	0.0	0.0	5.0	0.0	1.0000000000000003e-05	True	REGULAR	USD
130			2024-09-12		BA240920C00235000	235.0	0.02	0.0	0.0	0.0	0.0	4.0	1535.0	0.500005	False	REGULAR	USD
131			2024-09-12		BA240920C00245000	245.0	0.01	0.0	0.0	0.0	0.0	51.0	5403.0	0.500005	False	REGULAR	USD
132			2024-09-12		BA240920C00250000	250.0	0.01	0.0	0.0	0.0	0.0	220.0	2629.0	0.500005	False	REGULAR	USD
133			2024-04-17		BA240920P00260000	260.0	90.03	74.4	75.65	0.0	0.0	1.0	1.0	1.0000000000000003e-05	True	REGULAR	USD
134			2024-02-21		BA240920P00270000	270.0	68.75	77.95	83.85	0.0	0.0	60.0	0.0	1.0000000000000003e-05	True	REGULAR	USD
135			2023-12-21		BA240920P00275000	275.0	29.45	58.5	62.45	0.0	0.0	1.0	1.0	1.0000000000000003e-05	True	REGULAR	USD
136			2024-01-08		BA240920P00305000	305.0	77.55	92.2	94.55	0.0	0.0		0.0	1.0000000000000003e-05	True	REGULAR	USD
137			2024-01-08		BA240920P00315000	315.0	82.16	102.05	104.25	0.0	0.0	10.0	0.0	1.0000000000000003e-05	True	REGULAR	USD
138			2024-02-23		BA240920P00310000	310.0	108.52	118.05	123.8	0.0	0.0	2.0	0.0	1.0000000000000003e-05	True	REGULAR	USD
139			2023-12-28		BA240920P00320000	320.0	61.4	112.05	117.45	0.0	0.0		0.0	1.0000000000000003e-05	True	REGULAR	USD
140			2023-12-28		BA240920P00330000	330.0	71.05	122.95	127.3	0.0	0.0		0.0	1.0000000000000003e-05	True	REGULAR	USD
141			2023-12-28		BA240920P00340000	340.0	80.4	131.95	137.6	0.0	0.0		0.0	1.0000000000000003e-05	True	REGULAR	USD
142			2024-07-08		BA240920P00360000	360.0	168.5	193.65	194.7	0.0	0.0	1.0	0.0	1.0000000000000003e-05	True	REGULAR	USD
143			2024-02-09		BA240920P00390000	390.0	180.71	189.15	192.85	0.0	0.0		0.0	1.0000000000000003e-05	True	REGULAR	USD
144			2024-05-06		BA240920C00095000	95.0	84.45	93.25	98.9	0.0	0.0	2.0	2.0	12.465822521362306	True	REGULAR	USD
145			2024-08-27		BA240920C00100000	100.0	73.15	0.0	0.0	0.0	0.0	7.0	0.0	1.0000000000000003e-05	True	REGULAR	USD
146			2024-07-31		BA240920C00105000	105.0	91.4	67.4	71.05	0.0	0.0	8.0	21.0	7.121583129272461	True	REGULAR	USD
147			2024-08-21		BA240920C00110000	110.0	62.92	0.0	0.0	0.0	0.0	100.0	65.0	1.0000000000000003e-05	True	REGULAR	USD
148			2024-08-21		BA240920C00115000	115.0	57.97	0.0	0.0	0.0	0.0	100.0	60.0	1.0000000000000003e-05	True	REGULAR	USD
149			2024-09-06		BA240920C00120000	120.0	37.65	0.0	0.0	0.0	0.0	4.0	20.0	1.0000000000000003e-05	True	REGULAR	USD
150			2024-09-06		BA240920C00125000	125.0	36.35	0.0	0.0	0.0	0.0	7.0	39.0	1.0000000000000003e-05	True	REGULAR	USD
151			2024-09-11		BA240920C00141000	141.0	17.0	0.0	0.0	0.0	0.0		1.0	1.0000000000000003e-05	True	REGULAR	USD
152			2024-09-11		BA240920C00265000	265.0	0.01	0.0	0.0	0.0	0.0	110.0	2126.0	0.500005	False	REGULAR	USD
153			2024-09-04		BA240920C00270000	270.0	0.06	0.0	0.0	0.0	0.0	10.0	1599.0	0.500005	False	REGULAR	USD
154			2024-09-03		BA240920C00305000	305.0	0.01	0.0	0.0	0.0	0.0	22.0	284.0	0.500005	False	REGULAR	USD
